名次,上次,aid,标题,mid,up主,投稿时间,时长,分P数,播放增量,弹幕增量,评论增量,收藏增量,硬币增量,分享增量,点赞增量,Pt,修正A,修正B,修正C,Last Pt,rate,长期入榜及期数,新曲排名
44,NEW,556742166,【牧心原创/2周年纪念】满盘皆输【牧心出道日48h】,1476027,中野然子,2022/08/07 11:00,184,1,592,0,30,111,64,12,194,17574.0,1.0,59.122,0.719,,,,21
45,——,770248675,【Noctyx原创曲手书】舞 DancInG【Kevin】,9080215,音淼Carina,2022/06/22 01:45,271,1,2177,7,5,203,160,9,267,17450.0,0.483,33.349,0.919,,,,
46,NEW,814444058,【原创曲PV附】月光与百叶窗 /feat.京町精华【白鳥こはな】,616406,Xunko_花反过来是叶正,2022/08/11 20:00,238,1,714,2,61,60,100,12,277,17171.0,1.0,44.818,0.57,,,,22
47,——,335787670,【JOJOの千本樱】替身之歌,19667124,三国杀绿帽,2021/09/30 16:00,240,1,14359,130,4,440,325,38,492,16963.0,0.197,10.655,0.821,,,,
48,NEW,514351028,【诗岸原创】吐完擦擦（送给我萍水相逢的黑粉朋友）,305752635,学校那些破事儿,2022/08/10 12:50,81,1,1691,4,56,99,64,23,345,16820.0,1.0,19.279,0.737,,,,23
49,——,343682197,【赤羽】李自成—幻想李闯男孩,16387108,火锅烫羊_四号机,2022/07/21 21:22,244,1,12928,13,27,394,404,92,508,16746.0,0.193,12.345,0.958,,,,
50,——,899177203,【秦时·纵横】剑与剑在摩擦，我最好的回答-填词翻唱《一笑倾城》,8301371,八瓦节能灯,2022/08/04 19:59,214,1,3704,20,12,96,93,5,329,16288.0,1.0,10.205,0.863,,,,
51,——,601221586,【最伟大的JO品】,121965159,嗷嗷夜,2022/07/23 13:05,225,1,8656,16,3,393,217,15,636,15047.0,0.212,14.094,0.956,,,,
52,NEW,814368731,【Kevin AI&乐正龙牙】最伟大的作品 SV萌新初调教有人看吗？【Synthesizer V Cover】【VOCALOID Cover】,1086225949,Ivy_Ellenstein,2022/08/09 20:32,307,1,1571,0,28,91,142,39,136,14755.0,1.0,29.663,0.866,,,,24
53,NEW,514146066,【赤羽】红颜侠客【Synthesizer V Cover】,36310625,法师p,2022/08/06 16:18,205,1,1240,3,87,126,64,9,202,14141.0,1.0,30.645,0.602,,,,25
54,——,383073373,【原神】“谁说神明注视着的才算英雄？”,4904669,圣光kirlia,2022/04/11 12:00,243,1,11870,24,24,390,242,40,691,13468.0,0.172,10.649,0.937,,,,
55,——,514003670,【诗岸】调查中【2022虚拟歌手创作赛】【Tham】,68408839,ThamStudio,2022/08/01 12:00,217,1,1919,6,21,157,72,13,187,13350.0,1.0,22.512,0.856,,,,
56,——,837540509,【苍穹原创】木兰行【忘川风华录】,326258472,忘川风华录,2020/04/01 10:01,210,1,25686,10,13,524,368,145,870,12827.0,0.106,6.945,0.986,,,,
57,NEW,601794108,怎么有虚拟歌姬不记得P主的生日啊！！！,15135608,InkFea墨墨羽,2022/08/08 00:30,90,1,1747,7,96,49,32,13,296,12728.0,1.0,9.273,0.617,,,,26
58,——,983927922,你绝对没听过这么好听的九州原创曲【星尘】,482091893,阿生一事无成,2022/07/30 23:00,269,1,1862,2,26,112,86,27,155,12342.0,1.0,21.267,0.869,,,,
59,NEW,514140758,プラネテス／默辰／キノコｐ,570208,奶油味儿的蘑菇w,2022/08/06 21:27,150,1,758,0,15,121,45,7,204,12166.0,1.0,35.62,0.86,,,,27
60,NEW,941478294,牧心·翻调《天空一无所有》【牧心出道日48h】,8047166,莫米兔,2022/08/07 08:00,290,1,644,5,69,80,54,8,169,12088.0,1.0,41.615,0.488,,,,28
61,NEW,814262427,【赤羽】曾作金陵烂漫游，终归尘土甚是《狼狈》,480048140,黑斯特瑞_Official,2022/08/09 14:00,221,1,1336,62,46,93,64,17,174,11952.0,1.0,23.503,0.426,,,,29
62,——,814016042,【五维介质Playlist】雨声助眠 窗外传来的歌声 白噪音＋歌曲mix,15410134,椛兔,2022/08/01 23:56,4398,1,1378,1,17,215,62,9,154,11644.0,1.0,26.996,0.895,,,,
63,——,684121017,【忘川风华录·王阳明】破云来【赤羽原创】“天地本与我为一，知行此中意。”,326258472,忘川风华录,2022/05/13 18:00,257,1,28144,13,46,426,434,119,675,11454.0,0.1,6.111,0.974,,,,
64,——,375265162,【海伊/星尘Minus原创】惊鹊【忘川风华录】,326258472,忘川风华录,2021/04/30 18:00,214,1,14307,12,119,274,303,114,462,11427.0,0.16,8.066,0.909,,,,
65,NEW,601630787,【牧心/中文翻填】夜谈欺诈【牧心出道日48h/2周年纪念/原创曲绘&PV付】【SynthV COVER】,1476027,中野然子,2022/08/07 17:00,204,1,355,1,24,72,38,4,114,10985.0,1.006,61.972,0.637,,,,30
66,——,554393077,【Fulgur Ovid原创曲手书】读 ReaD【Kevin feat.Ryo】,9080215,音淼Carina,2022/05/26 13:50,244,1,2092,1,1,142,138,23,193,10962.0,0.38,26.769,0.985,,,,
67,NEW,301331402,【牧心】橙子汽水（ChiliChill）【牧心出道日48h】【一图流PV】【SynthV Cover】,3933257,正言,2022/08/07 15:00,239,1,890,1,19,109,22,6,264,10266.0,1.0,14.831,0.826,,,,31
68,NEW,941802930,【V家粉必看】调校，到底有多重要？【Sora_dB】,362783790,Sora_dB,2022/08/10 15:08,252,1,1412,2,45,135,29,14,222,10224.0,1.0,12.323,0.759,,,,32
69,NEW,899201345,【海伊x海伊翻唱】一梦贪欢,512045367,一般诗云p,2022/08/07 17:24,158,1,386,1,27,58,42,7,132,10061.0,1.0,51.813,0.622,,,,33
70,NEW,601333942,【牧心翻唱/原创手书】梦航员【牧心出道2周年/牧心出道日48h】,1866137,忆想诗P,2022/08/07 16:20,250,1,320,2,32,55,45,14,73,10055.0,1.124,62.5,0.532,,,,34
71,NEW,216725994,【赤羽】起风了【2022虚拟歌手创作赛】【Tham】,68408839,ThamStudio,2022/08/08 12:00,654,2,1098,0,33,77,64,8,151,9910.0,1.0,25.683,0.79,,,,35
72,——,598349300,【n-buna】「もうじき夏が終わるから」めろう✕星尘infinity   自制PV付,37964522,白川冷河,2022/07/10 22:25,313,1,1929,4,15,129,118,36,148,9817.0,0.4,25.609,0.897,,,,
